r,n,t
7,10600,1043
8,10600,1081
9,10600,1041
10,10600,1042
11,10600,838
12,10600,873
13,10600,837
14,10600,837
15,10600,838
16,10600,838
2,10700,2936
3,10700,1880
4,10700,1465
5,10700,1263
6,10700,1258
7,10700,1051
8,10700,1055
9,10700,1052
10,10700,1052
11,10700,845
12,10700,849
13,10700,845
14,10700,846
15,10700,846
16,10700,845
2,10800,2996
3,10800,1891
4,10800,1475
5,10800,1467
6,10800,1267
7,10800,1058
8,10800,1107
9,10800,1059
10,10800,1059
11,10800,850
12,10800,854
13,10800,852
14,10800,850
15,10800,850
16,10800,854
2,10900,2989
3,10900,1915
4,10900,1495
5,10900,1288
6,10900,1301
7,10900,1106
8,10900,1259
9,10900,1076
10,10900,1072
11,10900,911
12,10900,864
13,10900,863
14,10900,864
15,10900,864
16,10900,869
2,11000,3000
3,11000,1925
4,11000,1505
5,11000,1290
6,11000,1290
7,11000,1083
8,11000,1079
9,11000,1079
10,11000,1079
11,11000,872
12,11000,909
13,11000,870
14,11000,869
15,11000,881
16,11000,868
2,11100,3051
3,11100,1949
4,11100,1523
5,11100,1306
6,11100,1305
7,11100,1093
8,11100,1092
9,11100,1093
10,11100,1095
11,11100,878
12,11100,879
13,11100,878
14,11100,882
15,11100,878
16,11100,879
2,11200,3127
3,11200,1976
4,11200,1534
5,11200,1319
6,11200,1321
7,11200,1102
8,11200,1102
9,11200,1106
10,11200,1102
11,11200,886
12,11200,886
13,11200,891
14,11200,886
15,11200,886
16,11200,886
2,11300,3128
3,11300,1998
4,11300,1547
5,11300,1415
6,11300,1470
7,11300,1114
8,11300,1120
9,11300,1150
10,11300,1112
11,11300,895
12,11300,901
13,11300,894
14,11300,894
15,11300,894
16,11300,899
2,11400,3115
3,11400,2002
4,11400,1566
5,11400,1388
6,11400,1345
7,11400,1362
8,11400,1126
9,11400,1122
10,11400,1195
11,11400,906
12,11400,904
13,11400,902
14,11400,937
15,11400,904
16,11400,905
2,11500,3159
3,11500,2029
4,11500,1579
5,11500,1362
6,11500,1356
7,11500,1136
8,11500,1136
9,11500,1294
10,11500,1208
11,11500,914
12,11500,957
13,11500,916
14,11500,915
15,11500,914
16,11500,927
2,11600,3185
3,11600,2040
4,11600,1597
5,11600,1369
6,11600,1369
7,11600,1149
8,11600,1146
9,11600,1146
10,11600,1149
11,11600,922
12,11600,922
13,11600,922
14,11600,975
15,11600,923
16,11600,922
2,11700,3200
3,11700,2058
4,11700,1602
5,11700,1380
6,11700,1376
7,11700,1152
8,11700,1154
9,11700,1151
10,11700,1151
11,11700,926
12,11700,930
13,11700,926
14,11700,926
15,11700,926
16,11700,930
2,11800,3271
3,11800,2078
4,11800,1624
5,11800,1393
6,11800,1397
7,11800,1166
8,11800,1164
